ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID669176705,2 Moore St,1,h,911000.0,29/04/2017,1.0,0.0,126.0,119.0,-37.8259,145.0107
ID651207887,5 Henry Rd,4,h,2020000.0,17/06/2017,2.0,2.0,1183.0,59.0,-37.87104,145.23807
ID125057408,1 Otford Cl,3,h,975000.0,17/09/2016,1.0,2.0,576.0,79.0,-37.9363,145.0495
ID142855249,7/7 Simpson St,2,u,430000.0,15/10/2016,1.0,1.0,0.0,49.0,-37.7813,145.0062
ID647205654,23 Park St,2,h,1015000.0,23/09/2017,1.0,1.0,145.0,89.0,-37.7754,144.99275
ID576429494,10 Pender St,4,h,875000.0,27/06/2016,1.0,2.0,400.0,79.0,-37.7371,145.0111
ID412835519,1/493 Hoddle St,2,u,533000.0,24/09/2016,1.0,1.0,0.0,49.0,-37.7931,144.9938
ID557548518,1472 Dandenong Rd,2,h,750000.0,22/05/2016,2.0,2.0,607.0,69.0,-37.8964,145.0977
ID975493253,11/48 Princess St,2,u,590000.0,15/10/2016,1.0,1.0,0.0,44.0,-37.805,145.0294
ID984561971,806/50 Albert Rd,2,u,593000.0,3/09/2016,2.0,1.0,0.0,7.0,-37.8341,144.9713
ID235659569,34 Kerferd St,4,h,3000000.0,12/08/2017,3.0,3.0,736.0,12.0,-37.86954,145.0444
ID116522589,21 Ruthven St,3,h,1050000.0,7/05/2016,1.0,2.0,1016.0,69.0,-37.7299,145.0656
ID755295149,31 Frederick St,4,h,1320000.0,7/05/2016,2.0,1.0,319.0,104.0,-37.8197,144.8957
ID352006766,1/112 Tambet St,2,h,742500.0,12/11/2016,1.0,1.0,300.0,59.0,-37.9099,145.0726
ID419005213,20 Austral Av,4,h,1485000.0,29/07/2017,1.0,2.0,509.0,99.0,-37.74684,144.9933
ID439704115,3/2 Cooper St,3,t,500000.0,27/06/2016,1.0,2.0,224.0,34.0,-37.7863,144.8401
ID231309229,41 Shelley St,3,h,1465000.0,12/11/2016,2.0,2.0,233.0,26.0,-37.8122,144.9937
ID785244478,14 Avoca St,3,h,1155000.0,17/06/2017,2.0,1.0,650.0,69.0,-37.95378,145.03267
ID695573036,3 Rose St,2,t,1470000.0,29/04/2017,1.0,1.0,238.0,14.0,-37.8985,145.0048
ID153937981,5 Davidson St,4,h,951000.0,26/08/2017,1.0,1.0,654.0,59.0,-37.75399,145.03606000000005
ID557395154,4 French Ct,3,h,660000.0,3/12/2016,1.0,0.0,583.0,49.0,-37.7137,145.0778
ID737592799,5 Arnot St,3,t,1230000.0,28/05/2016,2.0,2.0,297.0,39.0,-37.9124,145.0132
ID435873113,39 Diane Cr,3,h,930000.0,12/08/2017,1.0,4.0,905.0,99.0,-37.78216,145.30721
ID493539745,16a Arbor Tce,3,u,665000.0,16/04/2016,2.0,1.0,289.0,7.0,-37.7644,144.8657
ID865318509,28 Central Av,2,h,942000.0,19/08/2017,1.0,1.0,241.0,104.0,-37.79583,144.89406
ID417004114,3/11 Norfolk Rd,3,t,1330500.0,3/12/2016,2.0,2.0,226.0,15.0,-37.8275,145.0958
ID872457390,13 Apollo Rd,3,h,685000.0,29/07/2017,1.0,2.0,678.0,15.0,-37.70892,144.80087
ID905819377,9 Sunview Pl,4,h,950000.0,8/07/2017,4.0,2.0,603.0,12.0,-38.06788,145.33966999999996
ID273710034,222 Barkly St,5,h,2500000.0,19/11/2016,2.0,2.0,555.0,129.0,-37.7767,144.9645
ID491297629,72 Middle St,3,h,721000.0,12/11/2016,1.0,3.0,539.0,59.0,-37.7098,144.9446
ID545744107,32 Elton Rd,3,h,663500.0,3/06/2017,1.0,2.0,736.0,59.0,-37.88909,145.26935
ID136913764,3/769 High St,3,t,1101000.0,27/11/2016,1.0,2.0,103.0,19.0,-37.8542,145.0135
ID478777796,8 Vera St,3,h,1050000.0,15/10/2016,2.0,1.0,728.0,54.0,-37.7765,145.1031
ID636570714,4 Lidgett St,3,h,285000.0,8/07/2017,1.0,2.0,612.0,5.0,-37.67344,144.43181
ID792732667,122 Stephen St,1,u,510000.0,11/02/2017,1.0,2.0,0.0,15.0,-37.8173,144.894
ID792549531,12 McNamara St,4,h,1385000.0,26/08/2017,2.0,2.0,588.0,59.0,-37.97258,145.05123
ID396304291,15 Outhwaite Rd,4,h,1086000.0,12/11/2016,2.0,2.0,724.0,59.0,-37.7404,145.0582
ID418300095,1107/50 Albert Rd,1,u,320000.0,27/11/2016,1.0,0.0,0.0,142.0,-37.8341,144.9713
ID658449374,6/4 Belvedere Cl,3,h,780000.0,22/05/2016,3.0,2.0,173.0,19.0,-37.773,144.8947
ID162031541,39 Barry St,3,h,1710000.0,4/06/2016,1.0,1.0,247.0,129.0,-37.7798,144.9952
ID714934935,19 Smith St,5,h,1000000.0,23/09/2017,2.0,6.0,892.0,15.0,-37.70176,145.0118
ID480858897,24 Northwood Dr,5,h,1025000.0,17/09/2016,3.0,2.0,531.0,41.0,-37.7378,145.0955
ID824301203,1/33 Yeovil Rd,3,t,1625000.0,10/12/2016,2.0,2.0,365.0,39.0,-37.8526,145.0853
ID803056293,4 Pershore Ct,3,h,635000.0,29/07/2017,2.0,1.0,691.0,44.0,-37.68026,144.88468
ID871368353,20 Scotia St,2,h,800000.0,27/06/2016,2.0,1.0,55.0,8.0,-37.8014,144.9488
ID586562475,14 Derham St,4,h,1300000.0,27/05/2017,2.0,2.0,730.0,26.0,-37.8257,144.87552
ID531734185,96 Whitelaw St,3,h,650000.0,10/09/2016,1.0,1.0,700.0,69.0,-37.7125,145.02200000000005
ID249101569,31A Beaconsfield Rd,3,h,840000.0,1/07/2017,1.0,2.0,509.0,19.0,-37.708220000000004,145.11495
ID595165738,13 Abbott St,3,h,835000.0,17/09/2016,1.0,3.0,459.0,129.0,-37.8255,144.8709
ID228842139,23 Dougharty Rd,2,h,570000.0,27/11/2016,1.0,3.0,428.0,25.0,-37.7355,145.0573
ID949577715,3 Camden Rd,2,h,2920000.0,10/12/2016,1.0,3.0,791.0,91.0,-37.8251,145.0385
ID121057153,52 Brighton St,2,h,1506000.0,7/05/2016,2.0,1.0,220.0,99.0,-37.8284,144.9989
ID323990124,100 Buckingham Dr,4,h,1430000.0,8/07/2017,2.0,3.0,680.0,49.0,-37.74605,145.08504
ID569816919,70 Barry St,3,h,785000.0,24/09/2016,1.0,1.0,719.0,5.0,-37.709,145.0015
ID228847813,22/2 Arthur St,1,u,300000.0,24/09/2016,1.0,1.0,0.0,14.0,-37.7441,144.9999
ID892443892,1/1 Paul St,2,u,522500.0,18/06/2016,1.0,1.0,145.0,49.0,-37.7874,145.1043
ID299415104,1/66 Lorne St,3,u,470000.0,26/07/2016,0.0,0.0,261.0,54.0,-37.7158,144.9722
ID715436034,2/49 Hamilton St,2,t,617500.0,10/09/2016,1.0,1.0,237.0,7.0,-37.74,144.8851
ID312218829,30 Daphne St,3,h,1385000.0,27/05/2017,2.0,3.0,654.0,53.0,-37.78496,145.14659
ID250082335,75 Scott St,5,h,1900000.0,15/10/2016,3.0,2.0,646.0,94.0,-37.7625,144.9074
ID152617290,187 Southern Rd,2,h,715000.0,25/02/2017,1.0,3.0,609.0,69.0,-37.7415,145.0391
ID146820894,7 Kewarren Ct,4,h,975000.0,16/09/2017,2.0,2.0,301.0,14.0,-37.73697,144.97568
ID147979971,26 Railway Rd,4,h,1667000.0,20/05/2017,2.0,2.0,615.0,99.0,-37.8928,145.0531
ID443408775,5 Nicholsdale Rd,4,h,1400000.0,16/04/2016,0.0,0.0,693.0,84.0,-37.836,145.0914
ID202237778,110 Vale St,2,h,4525000.0,3/12/2016,2.0,1.0,220.0,129.0,-37.8181,144.9879
ID914562229,138/56 Nicholson St,3,u,1090000.0,18/03/2017,2.0,2.0,4290.0,9.0,-37.8078,144.9965
ID303213032,4 Baker Pde,3,h,1500000.0,22/05/2016,1.0,2.0,545.0,29.0,-37.8605,145.0833
ID578668712,8/39 Maribyrnong Rd,3,t,762000.0,15/07/2017,1.0,1.0,0.0,109.0,-37.77261,144.92276
ID731344330,17 McGregor St,4,h,3130000.0,9/09/2017,2.0,2.0,618.0,19.0,-37.82875,145.08403
ID976447079,1/4 Kenilworth St,3,u,631000.0,8/04/2017,1.0,1.0,267.0,49.0,-37.714,145.007
ID971820933,1/19 Cameron Rd,2,u,691000.0,25/02/2017,1.0,1.0,201.0,24.0,-37.7454,144.928
ID158278181,25 Norfolk St,3,h,950000.0,16/04/2016,1.0,2.0,240.0,139.0,-37.8202,144.8896
ID801374114,66 Durham Rd,4,h,1455000.0,10/12/2016,2.0,1.0,494.0,89.0,-37.8317,145.0901
ID369909239,22/9 Lisson Gr,1,u,445000.0,19/11/2016,1.0,1.0,0.0,49.0,-37.8261,145.0269
ID380929374,27 Kensley Cct,4,h,492000.0,24/06/2017,2.0,2.0,479.0,10.0,-37.57005,144.91908999999995
ID457816612,19 Gordon Gr,3,h,1950000.0,7/05/2016,1.0,1.0,325.0,109.0,-37.8636,145.0301
ID518085901,27/78 Holyrood St,2,u,685000.0,12/06/2016,1.0,2.0,0.0,119.0,-37.9339,145.0023
ID437413898,14 Sutherland St,3,h,716000.0,27/11/2016,1.0,2.0,594.0,29.0,-37.709,144.9483
ID714937771,6a Scott St,4,h,1650000.0,3/09/2016,2.0,2.0,317.0,14.0,-37.8344,145.0422
ID237995176,2 Erica Ct,2,h,736500.0,27/05/2017,1.0,1.0,271.0,5.0,-37.75329,145.04058999999995
ID420172356,17 Ramleh Rd,3,h,692500.0,23/04/2016,2.0,2.0,803.0,5.0,-37.7086,145.0313
ID433447174,21 Crown St,3,h,1165000.0,28/08/2016,1.0,1.0,167.0,15.0,-37.8167,145.0098
ID558115296,1 Mikado St,3,h,870000.0,27/05/2017,1.0,6.0,700.0,6.0,-37.705690000000004,144.94048
ID620917911,23 William St,3,h,1377000.0,22/08/2016,1.0,2.0,314.0,129.0,-37.8202,145.0404
ID399752719,29 Argyle St,3,h,1175000.0,20/05/2017,1.0,2.0,625.0,13.0,-37.911,145.075
ID627671485,34 Glenroy Rd,3,h,805000.0,8/07/2017,1.0,2.0,676.0,69.0,-37.70691,144.93498
ID129466646,49 Fenwick St,3,h,1680000.0,19/11/2016,2.0,1.0,201.0,14.0,-37.7884,145.0
ID317470802,86 Prospect Dr,3,h,690000.0,8/10/2016,2.0,2.0,568.0,49.0,-37.7469,144.8526
ID268830957,45 Yuile St,3,h,1655000.0,10/12/2016,1.0,3.0,780.0,79.0,-37.8599,145.0815
ID271862441,7/138 New St,1,u,495000.0,29/07/2017,1.0,1.0,0.0,49.0,-37.91814,144.99296999999999
ID742679108,76 Champion St,3,h,1900000.0,12/08/2017,2.0,1.0,35.0,57.0,-37.9214,145.00454
ID862438336,15 Dennis St,5,h,675000.0,1/07/2017,2.0,2.0,750.0,11.0,-37.67227000000001,145.03595
ID174796392,1/29 Margaret St,3,t,770000.0,16/07/2016,2.0,2.0,264.0,10.0,-37.722,144.9192
ID436465912,3/24 South Rd,3,u,1602000.0,10/12/2016,2.0,2.0,328.0,19.0,-37.9288,144.9954
ID158464779,35 The Grove,8,u,2250000.0,4/03/2017,2.0,4.0,983.0,99.0,-37.7517,144.9699
ID157985902,344 Gaffney St,3,h,810000.0,11/02/2017,1.0,1.0,470.0,69.0,-37.7315,144.9399
ID772026499,1/23 Wickham Rd,3,h,926000.0,18/06/2016,2.0,2.0,393.0,69.0,-37.9431,145.0267
ID751380930,22 Mortimore St,3,h,1610000.0,22/07/2017,2.0,2.0,672.0,59.0,-37.92768,145.04268000000005
ID914161606,9 James St,3,h,750000.0,15/07/2017,1.0,1.0,724.0,69.0,-37.71097,144.97324
ID826181802,3 Clairmont St,3,h,787000.0,3/06/2017,1.0,3.0,716.0,64.0,-37.77917,144.81407
ID429226616,6 Tonmar Ct,4,h,1000000.0,26/08/2017,2.0,2.0,624.0,59.0,-37.84389,145.17345
ID932087677,6/56 Red Bluff St,2,u,879000.0,17/06/2017,1.0,1.0,0.0,49.0,-37.963409999999996,145.01735
ID246329279,7/74 Hawdon St,2,u,534000.0,8/07/2017,1.0,1.0,2033.0,49.0,-37.75715,145.06463
ID276478743,51 Kellett St,4,h,1590000.0,4/06/2016,1.0,1.0,484.0,94.0,-37.7672,145.0095
ID210219574,3/16 Elphin St,1,u,420000.0,16/04/2016,1.0,1.0,55.0,49.0,-37.7772,145.0414
ID893915863,25 Lodden St,4,h,626800.0,7/11/2016,1.0,2.0,581.0,69.0,-37.7712,144.8336
ID171419039,20 Botanic Dr,3,h,745000.0,17/06/2017,2.0,2.0,180.0,54.0,-37.93898,145.13648
ID327139676,3 Astley St,4,h,920000.0,22/08/2016,2.0,2.0,678.0,39.0,-37.7613,145.1047
ID595475856,4 Anchor Pl,4,h,1805000.0,17/06/2017,2.0,1.0,105.0,4.0,-37.85102,144.99408
ID234004821,4/6 Crown Av,2,u,600000.0,29/07/2017,1.0,1.0,0.0,52.0,-38.00765,145.0935
ID449118541,7 Essex St,2,h,747000.0,19/11/2016,1.0,1.0,320.0,119.0,-37.7964,144.8871
ID390664907,1/5 Glover St,3,h,590000.0,17/06/2017,1.0,2.0,290.0,69.0,-37.7368,145.05048
ID293408987,1/33 Riviera St,2,u,641000.0,29/07/2017,1.0,1.0,0.0,39.0,-37.978359999999995,145.07303000000005
ID682665226,5/1 Headley St,2,t,600000.0,4/03/2017,1.0,1.0,145.0,9.0,-37.7295,144.9641
ID192560368,28/18 Mawbey St,3,u,551000.0,10/12/2016,1.0,1.0,4440.0,7.0,-37.7898,144.9233
ID328838226,13/52 Moubray St,1,u,442500.0,25/02/2017,1.0,0.0,0.0,49.0,-37.8421,144.9517
ID165740387,30 Valley Pde,4,h,2100000.0,27/11/2016,2.0,2.0,645.0,89.0,-37.8516,145.061
ID552053499,38 Garnet St,4,h,1160000.0,28/05/2016,3.0,2.0,424.0,69.0,-37.74800000000001,144.8873
ID174085951,22 Bambara Ct,4,h,705000.0,27/11/2016,2.0,4.0,759.0,44.0,-37.7951,144.8213
ID258986063,4 Besant St,3,h,1070000.0,19/11/2016,1.0,3.0,583.0,49.0,-37.9428,145.0296
ID905266209,1/9 Binnie St,2,u,817500.0,3/09/2017,1.0,1.0,111.0,94.0,-37.92416,145.00658
ID747241291,7 Colvin Gr,3,h,1700000.0,6/05/2017,1.0,2.0,338.0,109.0,-37.8139,145.0243
ID599561148,12 Coane St,3,h,960000.0,25/02/2017,1.0,2.0,641.0,69.0,-37.7253,144.938
ID523169522,1/52 Leila Rd,3,u,1275000.0,3/06/2017,2.0,2.0,750.0,35.0,-37.90092,145.04924
ID268597850,8/19 Empire St,2,u,281000.0,10/12/2016,1.0,1.0,0.0,39.0,-37.7891,144.8912
ID191254206,39 Winifred St,4,h,1350000.0,23/09/2017,2.0,2.0,264.0,23.0,-37.76898,144.9858
ID402368215,124 Woodland St,3,h,1500000.0,17/09/2016,2.0,4.0,722.0,69.0,-37.7427,144.9226
ID522068369,502/416 Gore St,2,u,790000.0,8/07/2017,1.0,2.0,6367.0,89.0,-37.7967,144.98363
ID413190295,167 Victoria Dr,3,h,740000.0,3/06/2017,2.0,2.0,545.0,36.0,-37.68403,144.99246000000005
ID168063586,5/82 Gooch St,2,u,432500.0,27/06/2016,1.0,1.0,748.0,54.0,-37.7587,145.0064
ID675164079,101 McCracken St,3,h,1470000.0,18/03/2017,1.0,1.0,687.0,3.0,-37.7442,144.9045
ID144047830,18 Crimea St,5,h,5046000.0,10/12/2016,3.0,3.0,1294.0,135.0,-37.8589,144.9883
ID986153579,8B Myrtle St,2,t,1055000.0,27/11/2016,2.0,1.0,191.0,44.0,-37.813,145.0167
ID520879657,14 Danaher Av,3,h,366000.0,16/09/2017,1.0,1.0,502.0,41.0,-37.40853,144.97749
ID587319793,2/11 Maroona Rd,2,u,415000.0,18/06/2016,1.0,1.0,0.0,49.0,-37.8889,145.048
ID260952525,2/52 Barton St,2,u,807000.0,17/06/2017,1.0,1.0,1501.0,59.0,-37.81665,145.10043000000005
ID660589438,1/28 Clarence St,3,u,782000.0,22/05/2016,1.0,1.0,0.0,49.0,-37.8921,145.0106
ID351246365,19 Alston St,3,h,1250000.0,24/06/2017,1.0,2.0,695.0,59.0,-37.75506,145.01841000000005
ID317109879,33 North St,3,h,720000.0,25/02/2017,1.0,1.0,585.0,44.0,-37.72,144.878
ID660177681,54 Victoria St,5,h,2550000.0,19/08/2017,2.0,2.0,840.0,109.0,-37.8633,144.88871
ID361215100,11 Keiller St,3,h,1060000.0,16/09/2017,2.0,3.0,465.0,71.0,-37.93524,145.03438
ID778014922,124 Abbott St,3,h,1651000.0,22/07/2017,2.0,1.0,390.0,69.0,-37.95035,145.01571
ID921339107,6 Paul Gr,4,h,675000.0,24/06/2017,2.0,2.0,1031.0,59.0,-38.00224,145.41081
ID334542684,12 Leonard St,4,h,1350000.0,24/09/2016,2.0,1.0,727.0,12.0,-37.8669,145.1106
ID566571933,5/3 Lennox St,2,u,420000.0,10/09/2016,1.0,1.0,0.0,69.0,-37.7701,144.9079
ID465879429,3/30 Beaumont Pde,1,h,280000.0,15/07/2017,1.0,1.0,45.0,49.0,-37.80728,144.86702
ID764520375,13 Montgomery St,2,h,1300000.0,3/09/2017,1.0,2.0,502.0,104.0,-38.00663,145.08491999999995
ID974693085,8A Tangyes St,3,h,1210000.0,8/07/2017,2.0,1.0,330.0,7.0,-37.72623,144.94521
ID683178532,29 Hendricks Cr,4,h,650000.0,19/08/2017,3.0,1.0,693.0,39.0,-37.68196,144.90661
ID777710414,7 Victoria St,4,h,2640000.0,4/03/2017,2.0,2.0,650.0,29.0,-37.8671,144.8875
ID819256059,42 Valiant St,2,h,890000.0,17/09/2016,1.0,1.0,150.0,34.0,-37.8011,145.0004
ID411203672,7 Donnelly Ct,4,h,646000.0,29/04/2017,2.0,2.0,658.0,39.0,-37.7358,144.8217
ID413154932,3/67 Livingstone St,2,u,630000.0,24/09/2016,1.0,1.0,199.0,89.0,-37.7666,145.0356
ID921408163,18 Longford Ct,4,h,570000.0,10/09/2016,2.0,2.0,558.0,49.0,-37.7369,144.8252
ID927620859,3/11 Scott St,2,u,550000.0,17/06/2017,1.0,1.0,605.0,49.0,-37.879870000000004,144.99251999999996
ID256186627,3/9 Mountain View Pde,4,h,915000.0,14/05/2016,3.0,2.0,0.0,11.0,-37.7449,145.0596
ID632378181,19 Barak St,4,h,1100000.0,24/09/2016,2.0,2.0,693.0,44.0,-37.7743,145.0863
ID175447476,7 Whitty St,2,h,555000.0,18/06/2016,1.0,1.0,254.0,49.0,-37.7881,144.8354
ID358211608,2/3 Eldridge St,1,u,216000.0,4/02/2016,1.0,1.0,0.0,49.0,-37.7907,144.8924
ID673664645,215 Clarke St,4,h,3850000.0,30/07/2016,4.0,8.0,1390.0,107.0,-37.7767,144.9996
ID424575456,55 Stanhope St,4,h,753000.0,9/09/2017,1.0,2.0,696.0,74.0,-37.685629999999996,144.92998
ID989078119,790 North Rd,5,h,1600000.0,16/07/2016,2.0,2.0,659.0,89.0,-37.906,145.0547
ID708957722,1 Rosedale Rd,4,h,1390000.0,28/05/2016,2.0,3.0,397.0,94.0,-37.8578,145.06799999999996
ID769914320,2/70 Windsor St,2,h,945000.0,29/07/2017,1.0,1.0,126.0,129.0,-37.80473,144.89095
ID268830957,45 Yuile St,3,h,1655000.0,10/12/2016,1.0,3.0,780.0,79.0,-37.8599,145.0815
ID542289885,401/40 Altona St,2,u,445000.0,29/07/2017,1.0,1.0,1775.0,49.0,-37.79818,144.92685
ID634140205,11 Station St,3,h,725000.0,23/04/2016,1.0,0.0,238.0,119.0,-37.7539,144.9612
ID113866875,36 Cameron Pde,4,h,850000.0,26/08/2017,2.0,3.0,543.0,94.0,-37.69852,145.06523
ID792784598,60 Gardner St,2,h,1110000.0,6/05/2017,1.0,0.0,166.0,59.0,-37.8172,145.0053
ID954266682,20 Ruskin Rd,3,h,1880000.0,18/06/2016,2.0,2.0,668.0,99.0,-37.8489,145.0711
ID835634007,9 Powlett St,4,h,596000.0,17/06/2017,2.0,2.0,512.0,49.0,-37.61133,145.0945
ID479504405,2b Dundas Pl,3,h,1532000.0,26/07/2016,3.0,1.0,0.0,109.0,-37.8415,144.9585
ID160566808,3/180 Sycamore St,2,u,636500.0,8/07/2017,1.0,1.0,0.0,49.0,-37.89063,145.02608999999995
ID228322344,13 Claronga St,3,h,885000.0,4/06/2016,1.0,2.0,565.0,69.0,-37.9262,145.0808
ID392817720,48 Kenmare St,3,h,2588000.0,7/11/2016,3.0,2.0,1149.0,99.0,-37.812,145.1095
ID342525346,26 Snow St,5,h,765000.0,29/07/2017,3.0,4.0,650.0,49.0,-37.72285,144.86073000000005
ID418819565,17 Norma St,2,h,621000.0,1/07/2017,1.0,0.0,610.0,80.0,-37.67629,145.15589
ID590529765,1/33 Oconnor St,2,t,672000.0,29/07/2017,1.0,1.0,243.0,7.0,-37.71045,145.0018
ID709151646,1 Tudor St,3,h,820000.0,10/12/2016,2.0,4.0,805.0,69.0,-37.708,144.9211
ID338689144,40 Ogrady St,2,h,1330000.0,15/10/2016,1.0,0.0,116.0,119.0,-37.7904,144.9726
ID547758973,3 Golf Rd,3,h,860000.0,19/11/2016,2.0,3.0,472.0,49.0,-37.734,144.9728
ID328260111,439 Plenty Rd,3,h,1000000.0,10/12/2016,2.0,2.0,143.0,44.0,-37.7381,145.0116
ID529585015,42 Sadie St,3,h,822000.0,4/03/2017,1.0,4.0,700.0,69.0,-37.6988,144.9438
ID338016308,3A Crete Av,3,h,1210000.0,23/09/2017,1.0,3.0,407.0,64.0,-37.8696,145.0866
ID231581610,9 Ernst St,3,h,1474000.0,22/08/2016,2.0,2.0,753.0,12.0,-37.7753,145.1114
ID947661098,16/341 Heidelberg Rd,2,u,420000.0,8/04/2017,1.0,1.0,1000.0,44.0,-37.7836,145.0139
ID827302481,27 Charles St,2,h,1030000.0,30/07/2016,1.0,1.0,172.0,89.0,-37.8086,144.9946
ID995737354,31b Purtell St,4,t,1465000.0,18/06/2016,2.0,2.0,319.0,4.0,-37.9256,145.0533
ID915557472,7 Austin St,3,h,740000.0,22/07/2017,1.0,2.0,968.0,64.0,-37.88523,145.28553
ID775625663,14/2 Exhibition St,2,u,1160500.0,4/03/2017,2.0,1.0,4230.0,13.0,-37.8157,144.9727
ID145475344,97 The Crescent,3,h,1100000.0,24/06/2017,2.0,2.0,239.0,119.0,-37.77263,144.92045
ID431366885,98 Epsom Rd,3,h,971000.0,4/06/2016,2.0,2.0,285.0,119.0,-37.775,144.9091
ID176672641,32 Page St,2,h,1340000.0,25/02/2017,1.0,0.0,136.0,109.0,-37.846,144.9517
ID700268247,5 Evans Ct,3,h,586000.0,29/07/2017,1.0,1.0,677.0,39.0,-37.69265,144.92653
ID329847355,33 Argyle Rd,4,h,2286000.0,15/10/2016,3.0,2.0,712.0,44.0,-37.8034,145.0527
ID290682446,5 Raleigh St,3,h,1290000.0,28/05/2016,1.0,2.0,605.0,89.0,-37.7541,144.9265
ID253713748,7 Kenneth St,3,h,1100000.0,4/03/2017,2.0,3.0,490.0,69.0,-37.7413,145.0203
ID452022591,5 Harcourt St,2,h,1495000.0,8/04/2017,1.0,2.0,803.0,69.0,-37.8683,145.1064
ID632378181,19 Barak St,4,h,1100000.0,24/09/2016,2.0,2.0,693.0,44.0,-37.7743,145.0863
